Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M07;194.704
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M06;175.501
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M05;115.078
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M04;88.181
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M03;54.452
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M02;51.104
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M01;26.043
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2026M04;23.982
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2026M03;17.618
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2026M02;12.765
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2026M01;10.993
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M12;11.829
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M11;13.556
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M10;34.028
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M09;42.163
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M08;45.998
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M07;44.268
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M06;36.043
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M05;32.422
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M04;26.647
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M03;15.302
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M02;12.722
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M01;10.742
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2026M04;393.011
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2026M03;315.299
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2026M02;163.828
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2026M01;86.509
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M12;113.005
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M11;137.136
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M10;319.058
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M09;688.993
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M08;1.025.660
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M07;934.056
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M06;696.228
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M05;477.718
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M04;389.483
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M03;246.639
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M02;186.261
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M01;90.711
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en España;2026M04;303.421
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en España;2026M03;246.903
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en España;2026M02;122.739
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en España;2026M01;54.013
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en España;2025M12;80.823
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en España;2025M11;84.812
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en España;2025M10;184.681
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en España;2025M09;497.553
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en España;2025M08;808.303
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en España;2025M07;741.323
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en España;2025M06;521.661
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en España;2025M05;351.956
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;Residentes en España;2025M04;282.397
