Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M11;128.413
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M10;169.284
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M09;176.484
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M08;194.614
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M07;182.168
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M06;163.820
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M05;171.543
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M04;152.561
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M03;123.497
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M02;101.440
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M01;88.017
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2026M04;76.561
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2026M03;82.552
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2026M02;67.886
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2026M01;64.492
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M12;81.758
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M11;82.955
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M10;87.891
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M09;74.476
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M08;85.121
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M07;82.448
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M06;80.795
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M05;79.429
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M04;76.304
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M03;75.317
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M02;69.068
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M01;60.694
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2026M04;77.868
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2026M03;47.301
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2026M02;33.253
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2026M01;29.055
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M12;35.144
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M11;45.458
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M10;81.393
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M09;102.008
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M08;109.494
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M07;99.720
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M06;83.026
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M05;92.114
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M04;76.257
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M03;48.180
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M02;32.372
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M01;27.323
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2026M04;305.316
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2026M03;246.674
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2026M02;192.816
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2026M01;180.639
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M12;213.882
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M11;241.240
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M10;321.021
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M09;344.334
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M08;415.888
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M07;365.818
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M06;321.798
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M05;326.882
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M04;287.784
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M03;231.038
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M02;188.323
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M01;163.445
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2026M04;139.886
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2026M03;147.564
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2026M02;122.346
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2026M01;116.766
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M12;142.210
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M11;145.518
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M10;157.841
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M09;138.275
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M08;184.574
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M07;165.863
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M06;151.563
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M05;145.513
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M04;135.656
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M03;132.840
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M02;123.537
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M01;106.538
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en el Extranjero;2026M04;165.430
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en el Extranjero;2026M03;99.109
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en el Extranjero;2026M02;70.470
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en el Extranjero;2026M01;63.872
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en el Extranjero;2025M12;71.672
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en el Extranjero;2025M11;95.723
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en el Extranjero;2025M10;163.180
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en el Extranjero;2025M09;206.059
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en el Extranjero;2025M08;231.314
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en el Extranjero;2025M07;199.954
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en el Extranjero;2025M06;170.236
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en el Extranjero;2025M05;181.368
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en el Extranjero;2025M04;152.128
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;98.197
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;64.786
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;56.907
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;;2026M04;144.938
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;;2026M03;119.511
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;;2026M02;92.300
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;;2026M01;87.464
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;;2025M12;105.530
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;;2025M11;111.965
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;;2025M10;147.949
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;;2025M09;159.455
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;;2025M08;172.310
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;;2025M07;164.930
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;;2025M06;154.379
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;;2025M05;155.535
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;;2025M04;146.592
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;;2025M03;118.539
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;;2025M02;102.296
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;;2025M01;91.045
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en España;2026M04;68.447
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en España;2026M03;68.035
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en España;2026M02;55.067
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en España;2026M01;50.130
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en España;2025M12;60.473
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en España;2025M11;65.049
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en España;2025M10;65.706
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en España;2025M09;66.086
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en España;2025M08;69.916
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en España;2025M07;62.064
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en España;2025M06;64.936
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en España;2025M05;63.539
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en España;2025M04;65.067
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en España;2025M03;68.173
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en España;2025M02;60.559
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en España;2025M01;51.340
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en el Extranjero;2026M04;76.491
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en el Extranjero;2026M03;51.476
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en el Extranjero;2026M02;37.233
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en el Extranjero;2026M01;37.334
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en el Extranjero;2025M12;45.057
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en el Extranjero;2025M11;46.916
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en el Extranjero;2025M10;82.243
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en el Extranjero;2025M09;93.368
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en el Extranjero;2025M08;102.394
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en el Extranjero;2025M07;102.865
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en el Extranjero;2025M06;89.443
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en el Extranjero;2025M05;91.996
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en el Extranjero;2025M04;81.525
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en el Extranjero;2025M03;50.365
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en el Extranjero;2025M02;41.738
Total Nacional;16 País Vasco;20 Gipuzkoa;Viajero;Total;Residentes en el Extranjero;2025M01;39.705
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;;2026M04;281.249
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;;2026M03;220.954
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;;2026M02;161.866
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;;2026M01;157.060
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;;2025M12;188.472
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;;2025M11;214.773
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;;2025M10;298.990
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;;2025M09;344.139
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;;2025M08;388.726
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;;2025M07;362.629
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;;2025M06;318.078
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;;2025M05;312.348
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;;2025M04;284.885
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;;2025M03;229.395
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;;2025M02;178.441
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;;2025M01;162.298
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en España;2026M04;133.371
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en España;2026M03;126.163
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en España;2026M02;93.921
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en España;2026M01;90.323
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en España;2025M12;112.847
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en España;2025M11;126.314
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en España;2025M10;134.814
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en España;2025M09;142.458
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en España;2025M08;165.775
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en España;2025M07;138.316
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en España;2025M06;126.660
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en España;2025M05;129.450
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en España;2025M04;130.625
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en España;2025M03;135.091
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en España;2025M02;104.325
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en España;2025M01;92.555
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en el Extranjero;2026M04;147.878
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en el Extranjero;2026M03;94.792
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en el Extranjero;2026M02;67.945
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en el Extranjero;2026M01;66.737
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en el Extranjero;2025M12;75.625
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en el Extranjero;2025M11;88.459
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en el Extranjero;2025M10;164.176
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en el Extranjero;2025M09;201.682
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en el Extranjero;2025M08;222.951
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en el Extranjero;2025M07;224.313
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en el Extranjero;2025M06;191.418
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en el Extranjero;2025M05;182.898
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en el Extranjero;2025M04;154.260
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;94.305
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;74.116
Total Nacional;16 País Vasco;20 Gipuzkoa;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;69.743
Total Nacional;17 Rioja, La;;Viajero;Total;;2026M04;53.313
Total Nacional;17 Rioja, La;;Viajero;Total;;2026M03;42.880
Total Nacional;17 Rioja, La;;Viajero;Total;;2026M02;35.290
Total Nacional;17 Rioja, La;;Viajero;Total;;2026M01;30.354
Total Nacional;17 Rioja, La;;Viajero;Total;;2025M12;44.635
Total Nacional;17 Rioja, La;;Viajero;Total;;2025M11;49.725
Total Nacional;17 Rioja, La;;Viajero;Total;;2025M10;66.389
Total Nacional;17 Rioja, La;;Viajero;Total;;2025M09;72.643
Total Nacional;17 Rioja, La;;Viajero;Total;;2025M08;89.950
Total Nacional;17 Rioja, La;;Viajero;Total;;2025M07;65.018
Total Nacional;17 Rioja, La;;Viajero;Total;;2025M06;59.385
Total Nacional;17 Rioja, La;;Viajero;Total;;2025M05;69.250
Total Nacional;17 Rioja, La;;Viajero;Total;;2025M04;52.413
Total Nacional;17 Rioja, La;;Viajero;Total;;2025M03;41.941
Total Nacional;17 Rioja, La;;Viajero;Total;;2025M02;34.066
Total Nacional;17 Rioja, La;;Viajero;Total;;2025M01;29.430
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en España;2026M04;41.043
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en España;2026M03;36.643
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en España;2026M02;31.331
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en España;2026M01;26.381
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en España;2025M12;39.725
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en España;2025M11;42.836
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en España;2025M10;48.816
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en España;2025M09;46.609
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en España;2025M08;71.733
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en España;2025M07;49.276
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en España;2025M06;41.220
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en España;2025M05;46.945
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en España;2025M04;39.440
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en España;2025M03;36.270
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en España;2025M02;30.272
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en España;2025M01;25.678
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en el Extranjero;2026M04;12.270
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en el Extranjero;2026M03;6.236
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en el Extranjero;2026M02;3.959
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en el Extranjero;2026M01;3.974
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en el Extranjero;2025M12;4.910
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en el Extranjero;2025M11;6.889
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en el Extranjero;2025M10;17.573
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en el Extranjero;2025M09;26.034
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en el Extranjero;2025M08;18.217
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en el Extranjero;2025M07;15.742
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en el Extranjero;2025M06;18.164
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en el Extranjero;2025M05;22.305
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en el Extranjero;2025M04;12.973
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en el Extranjero;2025M03;5.671
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en el Extranjero;2025M02;3.794
Total Nacional;17 Rioja, La;;Viajero;Total;Residentes en el Extranjero;2025M01;3.752
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;;2026M04;95.185
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;;2026M03;76.574
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;;2026M02;62.140
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;;2026M01;51.746
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;;2025M12;73.419
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;;2025M11;88.124
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;;2025M10;120.354
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;;2025M09;126.289
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;;2025M08;144.984
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;;2025M07;108.197
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;;2025M06;106.146
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;;2025M05;118.051
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;;2025M04;91.723
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;;2025M03;72.069
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;;2025M02;57.878
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;;2025M01;49.293
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en España;2026M04;74.259
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en España;2026M03;64.555
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en España;2026M02;54.649
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en España;2026M01;44.009
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en España;2025M12;64.388
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en España;2025M11;74.755
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en España;2025M10;88.347
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en España;2025M09;84.090
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en España;2025M08;117.833
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en España;2025M07;83.214
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en España;2025M06;72.382
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en España;2025M05;83.390
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en España;2025M04;69.828
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en España;2025M03;61.570
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en España;2025M02;50.503
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en España;2025M01;42.483
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en el Extranjero;2026M04;20.926
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en el Extranjero;2026M03;12.019
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en el Extranjero;2026M02;7.490
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en el Extranjero;2026M01;7.738
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en el Extranjero;2025M12;9.031
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en el Extranjero;2025M11;13.368
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en el Extranjero;2025M10;32.007
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en el Extranjero;2025M09;42.199
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en el Extranjero;2025M08;27.151
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en el Extranjero;2025M07;24.983
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en el Extranjero;2025M06;33.764
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en el Extranjero;2025M05;34.661
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en el Extranjero;2025M04;21.895
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;10.500
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;7.375
Total Nacional;17 Rioja, La;;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;6.809
Total Nacional;17 Rioja, La;26 Rioja, La;Viajero;Total;;2026M04;53.313
Total Nacional;17 Rioja, La;26 Rioja, La;Viajero;Total;;2026M03;42.880
Total Nacional;17 Rioja, La;26 Rioja, La;Viajero;Total;;2026M02;35.290
Total Nacional;17 Rioja, La;26 Rioja, La;Viajero;Total;;2026M01;30.354
Total Nacional;17 Rioja, La;26 Rioja, La;Viajero;Total;;2025M12;44.635
Total Nacional;17 Rioja, La;26 Rioja, La;Viajero;Total;;2025M11;49.725
Total Nacional;17 Rioja, La;26 Rioja, La;Viajero;Total;;2025M10;66.389
